name,description,agency,link,error
Startup SG Founder,"Startup SG Founder provides mentorship and startup capital grant of S$50,000 to first-time entrepreneurs with innovative business ideas. Startups are required to commit S$10,000 as co-matching fund to the grant.",Startup SG,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.startupsg.gov.sg/programmes/4894/startup-sg-founder>,False
Startup SG Tech,Startup SG Tech supports Proof-of-Concept (POC) and Proof-of-Value (POV) for commercialisation of innovative technologies.,Startup SG,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.startupsg.gov.sg/programmes/4897/startup-sg-tech>,False
5G Open Testbed,Companies would be able to trial their solutions at these 5G testbeds before they embark on their journey towards commercialisation as part of our efforts to convert Singapore into an innovation hub for 5G.,IMDA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/how-we-can-help/5g-open-testbed>,False
Digital Integration Incentive,The Digital Integration Incentive aims to increase the market supply of software integrated with seamless tax filing and e-invoicing capabilities; and drive end-business adoption of these software.,IRAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.iras.gov.sg/who-we-are/what-we-do/digital-collaboration/iras-digital-integration-incentive-\(dii\)>,False
Growth and Transformation Scheme,Supports initiatives that build best-in-class capabilities and enable holistic transformation for value chains in the Building & Construction sector.,BCA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme>,False
LEAD Connect Grant,A $30k fixed grant applicable to large enterprises with their own finance/ ERP solution.,IMDA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/how-we-can-help/nationwide-e-invoicing-framework/invoicenow/grants>,False
LEAD Transact Grant,Up to a $40k grant by IMDA applies to large enterprises that meet the minimum number of transacting business partners on the InvoiceNow network.,IMDA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/how-we-can-help/nationwide-e-invoicing-framework/invoicenow/grants>,False
Maritime Innovation and Technology Fund (MINT),"The Maritime Innovation and Technology Fund (MINT) aims to support and grow Singapore’s maritime innovation and technology ecosystem. There are three funding schemes available: MINT-Research & Development (MINT-RD), MINT-Product Development (MINT-PD) and MINT-Startup Grant (MINT-STARTUP).",MPA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mpa.gov.sg/regulations-advisory/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/mint-fund>,False
Operation & Technology Roadmap (OTR),Development of technology roadmaps to map out priorities that are aligned to businesses’ strategies and developmental plans.,A*STAR,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.a-star.edu.sg/Collaborate/programmes-for-smes/Operation-Technology-Roadmap>,False
Partnerships for Capability Transformation,"The enhanced Partnerships for Capability Transformation scheme will support more collaborations between multinational corporations, large local enterprises, and SMEs, including capability training, internationalisation and corporate venturing.",EDB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.edb.gov.sg/en/about-edb/media-releases-publications/collaborations-for-enhanced-partnerships-for-capability-transformation.html>,False
